patent,asgtype,assignee,city,state,country,nationality,residence,asgseq
03859640,2,"UNISYS CORPORATION","","","","","",0
03859500,2,"I SQUARED R ELEMENT COMPANY, INC.","","","","","",0
03858654,2,"TEXACO INC.","","","","","",0
03859022,2,"BAKER PERKINS INC.","","","","","",0
03858739,2,"BARNES HIND DIAGNOSTICS, INC.","","","","","",0
03858244,1,"","","","","","",0
03858513,3,"RICOH COMPANY, LTD.","","","","","",0
03859184,3,"SWISS ALUMINIUM LTD.","","","","","",0
03858524,1,"","","","","","",0
03859208,2,"FOOTE MINERAL COMPANY","","","","","",0
03859211,2,"PETROLITE CORPORATION","","","","","",0
03859400,2,"CINCINNATTI MILACRON INC.","","","","","",0
03858937,2,"ARNOLD   S AUTO UPHOLSTERY, INC.","","","","","",0
03859396,2,"PETROLITE CORPORATION","","","","","",0
03859055,2,"P. R. MALLORY + CO., INC.","","","","","",0
03858453,1,"","","","","","",0
03858283,2,"TEXTRON INC.","","","","","",0
03859047,2,"HOFFMANN-LA ROCHE INC.","","","","","",0
03859277,3,"YAMANOUCHI PHARMACEUTICAL CO., LTD.","","","","","",0
03858812,2,"SPRAYING SYSTEMS CO.","","","","","",0
03859486,3,"SIEMENS AKTIENGESELLSCHAFT","","","","","",0
03859126,2,"OWENS-ILLINOIS INC.","","","","","",0
03859286,2,"RICHARDSON-VICKS INC.","","","","","",0
03858482,1,"","","","","","",0
03858514,2,"MINNESOTA MINING AND MANUFACTURING COMPANY","","","","","",0
03859324,2,UOP,"","","","","",0
03858548,2,"CORNING INCORPORATED","","","","","",0
03858575,1,"","","","","","",0
03859546,3,"NEC CORPORATION","","","","","",0
03858789,1,"","","","","","",0
03858426,3,"SWISS ALUMINIUM LTD.","","","","","",0
03859173,3,"SOCIETE GENERALE D   ENTERPRISES","","","","","",0
03858314,2,"SCHICK INCORPORATED","","","","","",0
03859020,1,"","","","","","",0
03859239,2,"GENCORP INC.","","","","","",0
03859214,2,"L. F. LANG   SON POOLS, INC.","","","","","",0
03859371,2,"HOOKER CHEMICALS & PLASTICS CORP.","","","","","",0
03858262,2,"U.S.M. CORPORATION","","","","","",0
03858796,1,"","","","","","",0
03858955,2,"RCA CORPORATION","","","","","",0
03859393,3,"BAYER AKTIENGESELLSCHAFT","","","","","",0
03858677,2,"THE CLOROX COMPANY","","","","","",0
03859423,1,"","","","","","",0
03859578,1,"","","","","","",0
03859120,2,"E. I. DU PONT DE NEMOURS AND COMPANY","","","","","",0
03859413,2,"TOSCO CORPORATION","","","","","",0
03858965,3,"MINOLTA CAMERA CO., LTD.","","","","","",0
03859100,3,"FUJI PHOTO FILM CO., LTD","","","","","",0
03858649,2,"HALLIBURTON CO.","","","","","",0
03859342,3,"ASAHI KASEI KOGYO KABUSHIKI KAISHA","","","","","",0
03859490,1,"","","","","","",0
03859088,2,"AM INTERNATIONAL, INC.","","","","","",0
03858489,2,"GENERAL NAILING MACHINE CORPORATION","","","","","",0
03858808,1,"","","","","","",0
03859338,1,"","","","","","",0
03858368,1,"","","","","","",0
03859305,3,"DEUTSCHE GOLD- UND SILBER-SCHEIDEANSTALT VORMALS ROESSLER","","","","","",0
03858671,2,"KENNAMETAL INC.","","","","","",0
03858465,1,"","","","","","",0
03858287,1,"","","","","","",0
03858773,1,"","","","","","",0
03859241,3,"MONTECATINI EDISON S.P.A.","","","","","",0
03858569,2,"FARMER BROS. CO.","","","","","",0
03858850,2,"W T INDUSTRIES, INC.","","","","","",0
03858643,2,"PROTECT O DOME, INC.","","","","","",0
03859573,2,"DIGITAL DATA SYSTEMS CORPORATION","","","","","",0
03858933,2,"WAYMAR INDUSTRIES, INC.","","","","","",0
03859591,2,"DISPLAY ENTERPRISES, INC.","","","","","",0
03858601,2,"ROTO SWIVEL CORPORATION, INC.","","","","","",0
03859528,2,"SMITHKLINE BECKMAN CORPORATION","","","","","",0
03858559,1,"","","","","","",0
03859048,2,"PIERCE CHEMICAL COMPANY","","","","","",0
03858929,2,"RUBBERMAID COMMERICAL PRODUCTS INC.","","","","","",0
03859476,3,"NORTHERN TELECOM LIMITED","","","","","",0
03859118,2,"BROCKWAY, INC.","","","","","",0
03858756,2,"ALAN, I. W. FRANK, CORPORATION","","","","","",0
03859505,1,"","","","","","",0
03858950,2,"TIMKEN COMPANY","","","","","",0
03858480,4,"","","","","","",0
03858783,1,"","","","","","",0
03858611,2,"ROBERTSHAW CONTROLS COMPANY","","","","","",0
03859320,3,"IMPERIAL CHEMICAL INDUSTRIES PLC","","","","","",0
03858319,2,"ALUMINUM COMPANY OF AMERICA","","","","","",0
03858682,2,"CHARLES O. LARSON CO.","","","","","",0
03858378,2,"CORNING INCORPORATED","","","","","",0
03858370,2,"GENERAL ELECTRIC COMPANY","","","","","",0
03858889,3,"FIRMA PERPETUUM EBNER, FABRIK FUR FEINMECHANIK UND ELEKTROTE","","","","","",0
03858775,1,"","","","","","",0
03859420,3,"DEUTSCHE GOLD- UND SILBER-SCHEIDEANSTALT VORMALS ROESSLER","","","","","",0
03858253,1,"","","","","","",0
03858732,1,"","","","","","",0
03858250,1,"","","","","","",0
03858854,1,"","","","","","",0
03859516,2,"BORG-WARNER CORPORATION","","","","","",0
03858520,1,"","","","","","",0
03858716,2,"INDIAN HEAD INC.","","","","","",0
03858374,2,"INTERNATIONAL ENVIRONMENTAL DYNAMICS","","","","","",0
03859113,2,"NORDSON CORPORATION","","","","","",0
03858333,1,"","","","","","",0
03858746,3,"KYOWA ELECTRONIC INSTRUMENTS COMPANY, LTD.","","","","","",0
03858702,3,"KOKUSAI DENSHIN DENWA KABUSHIKI KAISHA","","","","","",0
03858792,2,"COMPAK SYSTEMS, INC.","","","","","",0
03858760,3,"L'OREAL S.A.","","","","","",0
03858255,1,"","","","","","",0
03858274,2,"QUESTOR CORP.","","","","","",0
03858609,3,"HEINRICH KOOPERS GMBH","","","","","",0
03858641,2,"MINNESOTA MINING AND MANUFACTURING COMPANY","","","","","",0
03859017,3,ROL,"","","","","",0
03858541,1,"","","","","","",0
03858740,1,"","","","","","",0
03859025,1,"","","","","","",0
03859362,3,"MEIJI SEIKA KAISHA LTD.","","","","","",0
03859064,2,"STUDLEY PAPER COMPANY, INC.","","","","","",0
03858708,2,"AMF INCORPORATED","","","","","",0
03859641,2,"AT&T CORP.","","","","","",0
03859003,1,"","","","","","",0
03859439,2,"CIBA-GEIGY CORPORATION","","","","","",0
03859603,2,"U.S. PHILIPS CORPORATION","","","","","",0
03858417,3,"ELITEX ZAVODY TEXTILNIHO STROJIRENSTVI GENERALNI REDITELSTVI","","","","","",0
03858779,3,"TWYFORD MOORS (AIRCRAFT + ENGINEERING) LTD.","","","","","",0
03858351,2,"MATTEL INC.","","","","","",0
03859067,3,"SOCIETE D'ASSISTANCE TECHNIQUE POUR PRODUITS NESTLE, S.A.","","","","","",0
03858299,2,"MULTIFASTENER CORPORATION","","","","","",0
03858920,2,"MONOCAB, INC.","","","","","",0
03858925,3,"DUNLOP HOLDINGS LIMITED","","","","","",0
03858372,1,"","","","","","",0
03858865,3,"MITSUI ENGINEERING AND SHIPBUILDING CO., LTD.","","","","","",0
03858386,2,"FIBER INDUSTRIES INC.","","","","","",0
03858725,1,"","","","","","",0
03858851,2,"PROTOTRON ASSOCIATES","","","","","",0
03859352,2,"ELI LILLY AND COMPANY","","","","","",0
03858265,1,"","","","","","",0
03859499,2,"GENERAL MOTORS CORPORATION","","","","","",0
03859506,2,"SOLA BASIC INDUSTRIES INC.","","","","","",0
03859535,3,"ERNST LEITZ WETZLAR GMBH","","","","","",0
03859298,2,"AMERICAN HOME PRODUCTS CORPORATION","","","","","",0
03859068,2,"TENNECO INC.","","","","","",0
03859634,2,"ARTHUR D. LITTLE ENTERPRISES, INC.","","","","","",0
03858279,3,"SPANSET INTER AG","","","","","",0
03859073,2,"CORNING INCORPORATED","","","","","",0
03858380,3,"F. ZIMMERMANN + CO.","","","","","",0
03859530,2,"INTERNATIONAL STANDARD ELECTRIC CORPORATION(ITT CORP. UNIT)","","","","","",0
03858338,3,"INDUSTRIA E COMERCIO DE IMPLEMENTOS AGRICOLAS E DESMANTAMENT","","","","","",0
03858537,2,"SINGER COMPANY","","","","","",0
03859654,2,"INTERNATIONAL BUSINESS MACHINES CORPORATION","","","","","",0
03859121,6,"UNITED STATES OF AMERICA, DEPARTMENT OF AGRICULTURE","","","","","",0
03859309,3,"SYNTEX CORPORATION","","","","","",0
03859467,3,"TELEFONAKTIEBOLAGET LM ERICSSON","","","","","",0
03859377,2,"MONSANTO COMPANY, INC.","","","","","",0
03858922,1,"","","","","","",0
03858772,2,"CONAIR, INC.","","","","","",0
03859616,1,"","","","","","",0
03858550,1,"","","","","","",0
03858840,2,"GENERAL MOTORS CORPORATION","","","","","",0
03859279,2,"HOFFMANN-LA ROCHE INC.","","","","","",0
03859189,3,"CENTRAL DE CHIMIE FIZICA","","","","","",0
03859665,1,"","","","","","",0
03858397,2,"INTERNATIONAL SALT COMPANY","","","","","",0
03859399,2,"CARBORUNDUM COMPANY","","","","","",0
03858664,1,"","","","","","",0
03858838,1,"","","","","","",0
03858696,2,"NAVISTAR INTERNATIONAL TRANSPORTATION CORP.","","","","","",0
03858444,2,"CHICAGO PNEUMATIC TOOL COMPANY","","","","","",0
03858647,1,"","","","","","",0
03858885,1,"","","","","","",0
03858802,1,"","","","","","",0
03858710,1,"","","","","","",0
03859398,2,"HUDSON OXYGEN THERAPY SALES COMPANY","","","","","",0
03859340,2,"BRISTOL-MYERS SQUIBB COMPANY","","","","","",0
03858525,2,"GENERAL ELECTRIC COMPANY","","","","","",0
03859201,2,UOP,"","","","","",0
03859263,2,"GOODYEAR TIRE + RUBBER COMPANY","","","","","",0
03859357,3,"NATIONAL RESEARCH DEVELOPMENT CORPORATION","","","","","",0
03858424,3,"HITACHI, LTD","","","","","",0
03858343,1,"","","","","","",0
03858327,3,"NAUCHNOIZSLEDOVATELSKI SEKTOR PRI WMEI     LENIN","","","","","",0
03859655,3,"DE STAAT DER NEDERLANDEN, TE DEZEN VERTEGENWOORDIGD DOOR DE","","","","","",0
03859489,3,"LUCAS ELECTRICAL CO., LIMITED","","","","","",0
03859572,2,"INTERNATIONAL BUSINESS MACHINES CORPORATION","","","","","",0
03859425,2,"STAUFFER CHEMICAL COMPANY","","","","","",0
03858878,1,"","","","","","",0
03858910,1,"","","","","","",0
03859475,2,"WULFSBERG ELECTRONICS, INC.","","","","","",0
03859155,4,"","","","","","",0
03858886,1,"","","","","","",0
03859623,1,"","","","","","",0
03858260,1,"","","","","","",0
03858270,2,"GENERAL ELECTRIC COMPANY","","","","","",0
03858443,2,"COLUMBIA RESEARCH LABORATORIES, INC.","","","","","",0
03858897,1,"","","","","","",0
03859501,2,"I SQUARED R ELEMENT COMPANY, INC.","","","","","",0
03859379,3,"HITACHI, LTD","","","","","",0
03859084,2,"AMERICAN FIRE APPARATUS CO.","","","","","",0
03858847,2,"HYDRANAUTICS CORPORATION","","","","","",0
03858987,3,"SIEMENS AKTIENGESELLSCHAFT","","","","","",0
03859323,2,"ALLIED-SIGNAL INC.","","","","","",0
03858946,3,"AUTOMOBILES CITROEN","","","","","",0
03858538,2,"TEXTRON INC.","","","","","",0
03859339,3,"HOECHST AKTIENGESELLSCHAFT","","","","","",0
03858769,1,"","","","","","",0
03859579,2,"GENERAL ELECTRIC COMPANY","","","","","",0
03859356,2,"SANDOZ-WANDER INC.","","","","","",0
03859583,2,"AT&T CORP.","","","","","",0
03859251,2,"EASTMAN KODAK COMPANY","","","","","",0
03859200,2,"GULF RESEARCH AND DEVELOPMENT COMPANY","","","","","",0
03858673,1,"","","","","","",0
03859582,2,"BENDIX CORPORATION(NOW ALLIED-SIGNAL INC.)","","","","","",0
03858839,1,"","","","","","",0
03858483,2,"CATERPILLAR INC.","","","","","",0
03859167,3,"SUMITOMO CHEMICAL COMPANY, LIMITED","","","","","",0
03858413,1,"","","","","","",0
03859367,3,"ASAHI DENKA KOGYO K.K.","","","","","",0
03858873,1,"","","","","","",0
03859527,2,"EASTMAN KODAK COMPANY","","","","","",0
03859259,2,"E. I. DU PONT DE NEMOURS AND COMPANY","","","","","",0
03859484,1,"","","","","","",0
03858874,3,"INTERNAX HOLDINGS LIMITED","","","","","",0
03859574,2,"SANGAMO ELECTRIC COMPANY","","","","","",0
03858446,3,"CANADIAN GENERAL ELECTRIC COMPANY LIMITED","","","","","",0
03858818,3,"HEBERLEIN + CO. AG","","","","","",0
03858587,1,"","","","","","",0
03859596,2,"COMPUTER CABLE CORPORATION","","","","","",0
03859314,2,"CELANESE COATINGS + SPECIALTIES COMPANY","","","","","",0
03859532,2,"BEEKMAN INSTRUMENTS, INC.","","","","","",0
03858666,1,"","","","","","",0
03859526,2,"BLOCK ENGINEERING, INC.","","","","","",0
03859223,2,"FMC CORPORATION","","","","","",0
03858549,3,"SIEMENS AKTIENGESELLSCHAFT","","","","","",0
03859057,2,"KENNAMETAL INC.","","","","","",0
03858478,1,"","","","","","",0
03859437,2,"INTELLECTUAL PROPERTY DEVELOPMENT CORPORATION","","","","","",0
03858837,1,"","","","","","",0
03858626,2,"ROCKFORD AUTOMATION, INC.","","","","","",0
03859134,3,"VARTA BATTERIE A.G.","","","","","",0
03858822,2,"TRUE TEMPER CORPORATION","","","","","",0
03859104,1,"","","","","","",0
03859246,2,"EASTMAN KODAK COMPANY","","","","","",0
03859041,2,"J. M. NEY COMPANY","","","","","",0
03858308,2,"BENDIX CORPORATION(NOW ALLIED-SIGNAL INC.)","","","","","",0
03859061,2,"CHROMALLOY AMERICAN CORPORATION","","","","","",0
03859401,2,"FIBRE THANE, INC.","","","","","",0
03858942,2,"WALD MANUFACTURING COMPANY, INC.","","","","","",0
03859333,2,"SYVA COMPANY","","","","","",0
03859604,1,"","","","","","",0
03859052,3,"JOH. A. BENCKISER GMBH","","","","","",0
03859571,2,"KORY INDUSTRIES, INC.","","","","","",0
03858320,1,"","","","","","",0
03859460,2,"BAIRD CORPORATION","","","","","",0
03858510,3,"ASAHI KASEI KOGYO KABUSHIKI KAISHA","","","","","",0
03859541,3,"NIPPON SOKEN, INC.","","","","","",0
03858995,2,"VULCAN RADIATOR COMPANY","","","","","",0
03859178,2,"AT&T CORP.","","","","","",0
03858882,1,"","","","","","",0
03858427,1,"","","","","","",0
03858454,2,"T.K.F., INC.","","","","","",0
03858488,3,"GIRLING LIMITED","","","","","",0
03859353,2,"HUGHES AIRCRAFT COMPANY","","","","","",0
03859590,2,"INTERNATIONAL BUSINESS MACHINES CORPORATION","","","","","",0
03859146,3,"CESKOSLOVENSKA AKADEMIE VED","","","","","",0
03859255,1,"","","","","","",0
03858919,3,"ARN. KIEKERT SOEHNE AND DAIMLER-BENZ AKTIENGESELLSCHAFT","","","","","",0
03858291,2,"GARRETT CORPORATION","","","","","",0
03858699,3,"AB TEKNISKA FJADRAR","","","","","",0
03859116,2,"BETHLEHEM STEEL CORPORATION","","","","","",0
03858741,2,"ILLINOIS TOOL WORKS INC.","","","","","",0
03858273,2,"SUN CHEMICAL CORPORATION","","","","","",0
03858923,1,"","","","","","",0
03858996,2,"SPS TECHNOLOGIES, INC.","","","","","",0
03858428,3,"OSBORN STEELS LIMITED","","","","","",0
03858640,3,"SOCIETE INDUSTRIELLE DE COMBUSTIBLE NUCLEAIRE","","","","","",0
03859335,3,"ERZ AND STAHL AG","","","","","",0
03859081,2,"MOORE PRODUCTION SPECIALITIES, INC.","","","","","",0
03859615,6,"UNITED STATES OF AMERICA, DEPARTMENT OF ENERGY","","","","","",0
03858490,1,"","","","","","",0
03859280,2,"AMERICAN HOME PRODUCTS CORPORATION","","","","","",0
03859317,2,"GOODYEAR TIRE + RUBBER COMPANY","","","","","",0
03858689,1,"","","","","","",0
03858366,1,"","","","","","",0
03858251,2,"POLAR WARE COMPANY","","","","","",0
03858717,1,"","","","","","",0
03859007,3,"SIEMENS AKTIENGESELLSCHAFT","","","","","",0
03858762,1,"","","","","","",0
03858325,2,"CREST/GOOD MANUFACTURING COMPANY, INC.","","","","","",0
03859444,3,"NIPPON KAYAKU KABUSHIKI KAISHA","","","","","",0
03858329,3,"KANEBO LTD.","","","","","",0
03859566,3,"SIEMENS AKTIENGESELLSCHAFT","","","","","",0
03859153,2,"E. I. DU PONT DE NEMOURS AND COMPANY","","","","","",0
03858908,1,"","","","","","",0
03858362,2,"DYNABRADE INC.","","","","","",0
03858984,2,"APL ENTERPRISES, INC.","","","","","",0
03859492,1,"","","","","","",0
03858627,3,"HOLSTEIN & KAPPERT GMBH","","","","","",0
03859392,3,"HOECHST AKTIENGESELLSCHAFT","","","","","",0
03858768,1,"","","","","","",0
03858578,2,"PRAVEL, WILSON   MATTHEWS","","","","","",0
03858761,1,"","","","","","",0
03859529,2,"XONICS, INC.","","","","","",0
03858407,2,"VIRGINIA CHEMICALS INC.","","","","","",0
03859629,3,"TOSHIBA CORPORATION","","","","","",0
03858644,2,"NAVISTAR INTERNATIONAL TRANSPORTATION CORP.","","","","","",0
03858875,2,"IDEAL TOY CORPORATION","","","","","",0
03858532,3,"A/S ATLAS","","","","","",0
03859026,1,"","","","","","",0
03859430,6,"UNITED STATES OF AMERICA, NAVY","","","","","",0
03859373,2,"SUN VENTURES INC.","","","","","",0
03858353,2,"MARVIN GLASS & ASSOCIATES","","","","","",0
03858758,2,"KEENE CORPORATION","","","","","",0
03858881,1,"","","","","","",0
03858323,1,"","","","","","",0
03858412,3,"GKN TRANSMISSIONS LIMITED","","","","","",0
03859034,2,"APCOM, INC.","","","","","",0
03858352,2,"GENERAL MILLS FUN GROUP INC.","","","","","",0
03859284,2,"ALLIED-SIGNAL INC.","","","","","",0
03858288,2,"FEDERAL-MOGUL CORP.","","","","","",0
03858983,2,"AUTECH CORPORATION","","","","","",0
03859354,2,"ELI LILLY AND COMPANY","","","","","",0
03859498,1,"","","","","","",0
03859645,2,"GTE PRODUCTS CORPORATION","","","","","",0
03859518,2,"FAIRCHILD CAMERA AND INSTRUMENT CORPORATION","","","","","",0
03859193,2,"HERCULES INCORPORATED","","","","","",0
03859638,2,"INTERSIL, INC.","","","","","",0
03859610,2,"GTE PRODUCTS CORPORATION","","","","","",0
03859291,2,"MORTON THIOKOL, INC.","","","","","",0
03858522,3,"HITACHI, LTD","","","","","",0
03858916,3,"AISIN SEIKI KABUSHIKI KAISHA","","","","","",0
03859631,2,"COMSCI DATA, INC.","","","","","",0
03858618,2,"FACTORY MUTUAL RESEARCH CORPORATION","","","","","",0
03858535,3,"EBARA-INFILCO KABUSHIKI KAISHA","","","","","",0
03858646,1,"","","","","","",0
03859304,2,"HOFFMANN-LA ROCHE INC.","","","","","",0
03858409,2,"WHIRLPOOL CORPORATION","","","","","",0
03858999,3,"NIPPON OIL COMPANY LTD.","","","","","",0
03859376,2,"GOODYEAR TIRE + RUBBER COMPANY","","","","","",0
03859183,2,"MONSANTO COMPANY, INC.","","","","","",0
03858675,2,"KOEHRING CORPORATION","","","","","",0
03858477,3,"NIPPON GAKKI SEIZO KABUSHIKI KAISHA","","","","","",0
03858245,2,"HAIR AGAIN LTD.","","","","","",0
03859031,2,"E. I. DU PONT DE NEMOURS AND COMPANY","","","","","",0
03859557,2,"HUGHES AIRCRAFT COMPANY","","","","","",0
03859110,2,"BROWN & WILLIAMSON TOBACCO CORPORATION","","","","","",0
03859169,2,"POLYMERIC ENZYMES, INC.","","","","","",0
03859542,2,"INDUCTOTHERM INDUSTRIES INC.","","","","","",0
03859278,3,"STAMICARBON B.V.","","","","","",0
03858861,2,"USX CORPORATION","","","","","",0
03859114,2,"AEROSPACE CORPORATION","","","","","",0
03858803,1,"","","","","","",0
03859474,2,"STROMBERG-CARLSON CORP.","","","","","",0
03858345,1,"","","","","","",0
03859140,2,"BELL + HOWELL COMPANY","","","","","",0
03858508,3,"RICOH COMPANY, LTD.","","","","","",0
03859166,2,"COMBUSTION ENGINEERING INC.","","","","","",0
03858515,3,"SARMAC S.A.","","","","","",0
03858434,2,"BORG-WARNER CORPORATION","","","","","",0
03859289,1,"","","","","","",0
03858249,1,"","","","","","",0
03858563,3,"ROBERT BOSCH GMBH","","","","","",0
03859250,2,"PHILLIPS PETROLEUM COMPANY","","","","","",0
03858724,1,"","","","","","",0
03858505,2,"FLOYD RUSH CORPORATION","","","","","",0
03858243,3,PLYMATIC,"","","","","",0
03859258,2,"LORD CORPORATION","","","","","",0
03858665,2,"NAVISTAR INTERNATIONAL TRANSPORTATION CORP.","","","","","",0
03858475,2,"MEASUREGRAPH COMPANY","","","","","",0
03859575,1,"","","","","","",0
03858418,1,"","","","","","",0
03859164,1,"","","","","","",0
03859543,1,"","","","","","",0
03859312,2,"RICHARDSON-VICKS INC.","","","","","",0
03858967,7,"HER MAJESTY THE QUEEN IN RIGHT OF CANADA AS REPRESENTED BY THE SECRETARY OF STAT","","","","","",0
03858980,3,"NATIONAL RESEARCH DEVELOPMENT CORPORATION","","","","","",0
03859249,2,"AKZONA INCORPORATED","","","","","",0
03859565,2,"FIRETROL, INC.","","","","","",0
03858415,2,"LIBERTY FABRICS OF NEW YORK, INC.","","","","","",0
03858912,1,"","","","","","",0
03858603,1,"","","","","","",0
03859245,3,"BAYER AKTIENGESELLSCHAFT","","","","","",0
03859292,2,"SCM CORPORATION","","","","","",0
03859242,2,"HERCULES INCORPORATED","","","","","",0
03858988,1,"","","","","","",0
03858447,1,"","","","","","",0
03859012,2,"COULTER ELECTRONICS INC.","","","","","",0
03859203,2,"GULF RESEARCH AND DEVELOPMENT COMPANY","","","","","",0
03859343,2,"MARATHON OIL COMPANY","","","","","",0
03858934,2,"BUDD COMPANY","","","","","",0
03859021,3,"MANNESMANN KLEIBER GMBH","","","","","",0
03859160,2,"CARBORUNDUM COMPANY","","","","","",0
03859488,1,"","","","","","",0
03858701,4,"","","","","","",0
03858798,1,"","","","","","",0
03859472,3,"AUTOMATIC ELECTRONIC SYSTEMS","","","","","",0
03858304,2,"HUGHES AIRCRAFT COMPANY","","","","","",0
03858382,1,"","","","","","",0
03859159,2,"E. I. DU PONT DE NEMOURS AND COMPANY","","","","","",0
03859644,2,"BURGER CHEF SYSTEMS INC.","","","","","",0
03858771,3,"SOCIETE LABLABO","","","","","",0
03858858,1,"","","","","","",0
03858795,2,"INTERNATIONAL EQUIPMENT COMPANY","","","","","",0
03859139,2,"UNITED TECHNOLOGIES CORPORATION","","","","","",0
03858571,1,"","","","","","",0
03858402,3,"BALAEVA GROUP LIMITED","","","","","",0
03858863,2,"ARA INC.","","","","","",0
03859609,2,"TEXAS INSTRUMENTS, INCORPORATED","","","","","",0
03858903,2,"LEAR SIEGLER, INC.","","","","","",0
03859044,2,"DIAMOND SHAMROCK CORPORATION","","","","","",0
03858660,1,"","","","","","",0
03858703,2,"CENTRONICS DATA COMPUTER CORP.","","","","","",0
03858363,2,"CORNING INCORPORATED","","","","","",0
03858586,1,"","","","","","",0
03858843,2,"CHEMETRON CORPORATION","","","","","",0
03859409,2,"FIBERGRATE CORPORATION","","","","","",0
03858621,3,"VYZKUMNY A VYVOJOVY USTAV ZAVODU VSEOBECNEHO STROJIRENSTVI","","","","","",0
03858819,2,"BUTLER AUTOMATIC INC.","","","","","",0
03859656,2,"JOHNSON CONTROLS, INC.","","","","","",0
03858591,3,"RYOWA CHOON KOGYO KABUSHIKI KAISHA","","","","","",0
03858743,2,"OWENS-ILLINOIS INC.","","","","","",0
03858405,1,"","","","","","",0
03859128,2,"SPRAGUE ELECTRIC COMPANY","","","","","",0
03859408,2,"GATES RUBBER COMPANY","","","","","",0
03858906,1,"","","","","","",0
03859315,2,"AMERICAN HOME PRODUCTS CORPORATION","","","","","",0
03858767,1,"","","","","","",0
03858970,2,"BELL + HOWELL COMPANY","","","","","",0
03859627,2,"LECTRON PRODUCTS INC.","","","","","",0
03858264,2,"KELLY COMPANY, INC.","","","","","",0
03859440,3,"ICI AUSTRALIA LTD.","","","","","",0
03858558,2,"GENERAL MOTORS CORPORATION","","","","","",0
03859478,2,"INTERNATIONAL STANDARD ELECTRIC CORPORATION(ITT CORP. UNIT)","","","","","",0
03859525,2,"TEXAS NUCLEAR CORPORATION","","","","","",0
03859346,3,"BP CHEMICALS INTERNATIONAL LIMITED","","","","","",0
03859613,3,THOMSON-CSF,"","","","","",0
03859384,2,"ROHM AND HAAS COMPANY","","","","","",0
03859403,2,"SPRAGUE ELECTRIC COMPANY","","","","","",0
