patent,claim
D0501286,"The ornamental design for a pet chew, as shown."
D0501287,"The ornamental design for a glove, as shown and described."
D0501288,"The ornamental design for an anatomically fitted belt, as shown and described."
D0501289,"The ornamental design for the short sleeve shirt, as shown and described."
D0501290,"The ornamental design for a cap with self-contained black light, as shown and described."
D0501291,"The ornamental design for a reversible crown, as shown and described."
D0501292,"The ornamental design for a shoe, as shown and described."
D0501293,"The ornamental design for a full wrap shoe sole, as shown and described."
D0501294,"The ornamental design for footwear sole, as shown and described."
D0501295,"The ornamental design for footwear upper, as shown and described."
D0501296,"The ornamental design for footwear upper, as shown and described."
D0501297,"The ornamental design for footwear upper, as shown and described."
D0501298,"The ornamental design for footwear upper, as shown and described."
D0501299,"The ornamental design for a shoe, as shown and described."
D0501300,"The ornamental design for a portion of a shoe upper, as shown and described."
D0501301,"The ornamental design for an upper for a slipper, as shown and described."
D0501302,"The ornamental design for a side element of a shoe upper, as shown and described."
D0501303,"The ornamental design for a pillbox, as shown and described."
D0501304,"The ornamental design for a pillbox, as shown and described."
D0501305,"The ornamental design for a pillbox, as shown and described."
D0501306,"The ornamental design for a pillbox, as shown and described."
D0501307,"The ornamental design for a pillbox, as shown and described."
D0501308,"The ornamental design for a pillbox, as shown and described."
D0501309,"The ornamental design for a pillbox, as shown and described."
D0501310,"The ornamental design for a pill storage case, as shown and described."
D0501311,"The ornamental design for a “case for pepper spray”, as shown and described."
D0501312,"I claim the ornamental design for a pagoda handbag, as shown."
D0501313,"The ornamental design for a purse, as shown and described."
D0501314,"The ornamental design for a handbag, as shown and described."
D0501315,"The ornamental design for a handbag, as shown and described."
D0501316,"The ornamental design for a handbag, as shown and described."
D0501317,"The ornamental design for a handbag, as shown and described."
D0501318,"The ornamental design for a storage container, as shown and described."
D0501319,"The ornamental design for a toothbrush, as shown and described."
D0501320,"The ornamental design for a part of a toothbrush handle, as shown and described."
D0501321,"The ornamental design for a toothbrush with stand and removable brush head, as shown and described."
D0501322,"The ornamental design for a toothbrush handle, substantially as shown and described."
D0501323,"The ornamental design for a brush, as shown and described."
D0501324,"The ornamental design for a brush handle, as shown and described."
D0501325,"The ornamental design for a brush, as shown and described."
D0501326,"The ornamental design for crown design for fabric, as shown and described."
D0501327,"The ornamental design for perforated metal picture frame and hanging system, as shown and described."
D0501328,"I claim the ornamental design for a mirror, as shown and described."
D0501329,"The ornamental design for a clothes hanger, as shown and described."
D0501330,"The ornamental design for a seat, as shown and described."
D0501331,"The ornamental design for a sofa, as shown and described."
D0501332,"I claim, the ornamental design for a seat, as shown and described."
D0501333,"The ornamental design of a chair, as shown and described."
D0501334,"The ornamental design for the seat, as shown and described."
D0501335,"The ornamental design for a desk, as shown and described."
D0501336,"The ornamental design for a foldable table, as shown and described."
D0501337,"The ornamental design for an expandable spice rack, as shown and described."
D0501338,"The ornamental design for a shelf unit, as shown and described."
D0501339,"The ornamental design for a table, as shown and described."
D0501340,"The ornamental design for an end frame for a futon, as shown and described."
D0501341,"The ornamental design for a stackable clothing divider having finger grip tab, as shown and described."
D0501342,"The ornamental design for a hockey helmet beer dispenser, as shown and described."
