"PHILIP E",DURAND,"",HUDSON,MA,US,1749,42.388756,-71.557437,1,03858241,1975,1974,03/26/1974,"UNITED STATES OF AMERICA ARMY",H000000000072,2,03858241-1,03858241-1,03858241-1
"LONNIE H",NORRIS,"",MILFORD,MA,US,1757,42.149786,-71.522396,2,03858241,1975,1974,03/26/1974,"UNITED STATES OF AMERICA ARMY",H000000000072,2,03858241-2,03858241-2,03858241-2
"ELWYN R",GOODING,"",PINCKNEY,MI,US,48169,42.45908,-83.934013,1,03858242,1975,1973,04/16/1973,"",,2,03858242-1,03858242-1,03858242-1
"CLAUDE RAYMOND",PIERRON,"",EPINAL,"",FR,"",48.183333,6.45,1,03858243,1975,1973,07/11/1973,PLYMATIC,A000010191467,2,03858243-1,03858243-1,03858243-1
"JEAN PAUL",JENNY,"",DECINES,"",FR,"",45.75,4.966667,2,03858243,1975,1973,07/11/1973,PLYMATIC,A000010191467,2,03858243-2,03858243-2,03858243-2
ROBERT,ZUCCARO,"",EPINAL,"",FR,"",48.183333,6.45,3,03858243,1975,1973,07/11/1973,PLYMATIC,A000010191467,2,03858243-3,03858243-3,03858243-3
"RICHARD L",MANN,"",WOODSTOCK,CT,US,6281,41.946708,-71.986604,1,03858244,1975,1973,12/17/1973,"",,2/69,03858244-1,03858244-1,03858244-1
"MICHAEL A","NATE II","","NEW YORK",NY,US,10292,40.708181,-74.003846,1,03858245,1975,1972,05/18/1972,"HAIR AGAIN LTD",H000000108362,128/606/623,03858245-1,03858245-1,03858245-1
"MAURICE A",MANN,"","NEW YORK",NY,US,10292,40.708181,-74.003846,2,03858245,1975,1972,05/18/1972,"HAIR AGAIN LTD",H000000108362,128/606/623,03858245-2,03858245-2,03858245-2
SIMCHA,MILO,"",AUSTIN,TX,US,78799,30.267104,-97.744615,1,03858246,1975,1973,04/19/1973,"",,623/137,03858246-1,03858246-1,03858246-1
JACK,BAUMAN,"","LOS ANGELES",CA,US,90230,34.001758,-118.394799,1,03858247,1975,1973,04/24/1973,"",,623/606,03858247-1,03858247-1,03858247-1
"SYLVESTER L",CROWE,"",FRANKLIN,IN,US,46131,39.488252,-86.054873,1,03858248,1975,1973,10/09/1973,"",,623,03858248-1,03858248-1,03858248-1
"DURRELL UNGER",HOWARD,"","SAN ANTONIO",TX,US,78299,29.42543,-98.486926,1,03858249,1975,1973,10/10/1973,"",,4,03858249-1,03994510-1,03994510-1
ANTHONY,COGLITORE,"","STATEN ISLAND",NY,US,10314,40.606393,-74.152402,1,03858250,1975,1973,08/16/1973,"",,4,03858250-1,03858250-1,03858250-1
"WALTER J",VOLLRATH,"",SHEBOYGAN,WI,US,53083,43.80234,-87.7698,1,03858251,1975,1973,09/17/1973,"POLAR WARE COMPANY",H000000064389,4,03858251-1,03858251-1,03858251-1
"RICHARD J",VOLLRATH,"",SHEBOYGAN,WI,US,53083,43.80234,-87.7698,2,03858251,1975,1973,09/17/1973,"POLAR WARE COMPANY",H000000064389,4,03858251-2,03858251-2,03858251-2
"PAUL R",VIRNOCHE,"",NEWTON,WI,US,53063,43.969789,-87.794434,3,03858251,1975,1973,09/17/1973,"POLAR WARE COMPANY",H000000064389,4,03858251-3,03858251-3,03858251-3
JOSEPH,TURK,"",SHEBOYGAN,WI,US,53083,43.80234,-87.7698,4,03858251,1975,1973,09/17/1973,"POLAR WARE COMPANY",H000000064389,4,03858251-4,03858251-4,03858251-4
"PAUL E",GERDES,"",SHEBOYGAN,WI,US,53083,43.80234,-87.7698,5,03858251,1975,1973,09/17/1973,"POLAR WARE COMPANY",H000000064389,4,03858251-5,03858251-5,03858251-5
"ROY W",SINGER,"",SHEBOYGAN,WI,US,53083,43.80234,-87.7698,6,03858251,1975,1973,09/17/1973,"POLAR WARE COMPANY",H000000064389,4,03858251-6,03858251-6,03858251-6
"OLGIERD Z",EJCHORSZT,"","LONG BEACH",CA,US,90899,33.767496,-118.187712,1,03858252,1975,1973,08/01/1973,"",,4/239,03858252-1,03858252-1,03858252-1
"ADRIAN A",LAUZON,"",MONTREAL,"",CA,"",55.4,-104.366667,1,03858253,1975,1973,08/16/1973,"",,5/312,03858253-1,03858253-1,03858253-1
"EDMUND S",COOMES,"",BIGGS,CA,US,95917,39.415882,-121.692678,1,03858254,1975,1973,10/15/1973,"",,5,03858254-1,03858254-1,03858254-1
"GEORGE T","PURVES JR","",INDIANAPOLIS,IN,US,46298,39.89393,-86.229942,1,03858255,1975,1973,12/13/1973,"",,5,03858255-1,03858255-1,03858255-1
"ANDREW E",BEER,"","NEW YORK",NY,US,10292,40.708181,-74.003846,1,03858256,1975,1972,11/01/1972,"",,5/297,03858256-1,03858256-1,03858256-1
SAMUEL,YOUNG,"",DANBURY,CT,US,6817,41.396437,-73.456032,1,03858257,1975,1973,10/15/1973,"",,5,03858257-1,03858257-1,03858257-1
"PETER S",STEVENS,"","MANHATTAN BEACH",CA,US,90267,33.874322,-118.39546,1,03858258,1975,1974,02/19/1974,"",,7,03858258-1,03858258-1,03858258-1
"EDGAR EARL",RENFREW,"","LOCK HAVEN",PA,US,17745,41.134686,-77.449701,1,03858259,1975,1972,04/28/1972,"AMERICAN ANILINE PRODUCTS INCORPORATED",H000000019680,8,03858259-1,03881866-1,03881866-1
"GUIDO RUGGIERO",GENTA,"",SNYDER,NY,US,14226,42.969504,-78.798576,2,03858259,1975,1972,04/28/1972,"AMERICAN ANILINE PRODUCTS INCORPORATED",H000000019680,8,03858259-2,03858259-2,03858259-2
"PAUL EDMOND",HANSER,"",MOLINE,IL,US,61266,41.505858,-90.51407,1,03858260,1975,1973,02/12/1973,"",,114,03858260-1,05511459-2,05511459-2
IWAO,UOZUMI,"",EBARA,"",JP,"",35.583333,139.633333,1,03858261,1975,1973,06/21/1973,"",,470,03858261-1,03858261-1,03858261-1
"RICHARD J",DUFFY,"",SALEM,MA,US,1971,42.527567,-70.868387,1,03858262,1975,1973,09/25/1973,"U S M CORPORATION",H000000000705,470,03858262-1,03858262-1,03858262-1
"MIKHAIL DMITRIEVI",SMIRNOV,"",LENINGRAD,"",RU,"",62.761111,40.339722,1,03858263,1975,1973,09/17/1973,"",,12,03858263-1,03858263-1,03858263-1
"LEONID ALEXANDRO",PETROV,"",LENINGRAD,"",RU,"",62.761111,40.339722,10,03858263,1975,1973,09/17/1973,"",,12,03858263-10,03858263-10,03858263-10
"VLADIMIR MAXIMOVIC",KUKUSHKIN,"",LENINGRAD,"",RU,"",62.761111,40.339722,11,03858263,1975,1973,09/17/1973,"",,12,03858263-11,03858263-11,03858263-11
"VLADIMIR NIKOLAEVI",STUKALOV,"",LENINGRAD,"",RU,"",62.761111,40.339722,12,03858263,1975,1973,09/17/1973,"",,12,03858263-12,03858263-12,03858263-12
"PAVEL MIKHAILOV",SMIRNOV,"",LENINGRAD,"",RU,"",62.761111,40.339722,13,03858263,1975,1973,09/17/1973,"",,12,03858263-13,03858263-13,03858263-13
"VIKTOR TIMOFEEVI",NOVOKRESCHENOV,"","LENINGRADSKAYA OBLAST","",RU,"",60.0,32.0,14,03858263,1975,1973,09/17/1973,"",,12,03858263-14,03858263-14,03858263-14
"EDUARD NIKOLAEVI",SHUSHKEVICH,"",LENINGRAD,"",RU,"",62.761111,40.339722,15,03858263,1975,1973,09/17/1973,"",,12,03858263-15,03858263-15,03858263-15
"ANATOLY ALEXANDRO",ATKARSKY,"",MOSCOW,"",RU,"",55.752222,37.615556,16,03858263,1975,1973,09/17/1973,"",,12,03858263-16,03858263-16,03858263-16
"BORIS DAVYDOVIC",OKUN,"",MOSCOW,"",RU,"",55.752222,37.615556,17,03858263,1975,1973,09/17/1973,"",,12,03858263-17,03858263-17,03858263-17
