Patent,Abstract,Title
D0388681,"",Screwdriver
D0388908,"","Goalie catcher glove"
D0388596,"","Bottom surface of a shoe outsole"
D0388697,"","Bottle surface ornamentation"
D0388729,"",Necklace
D0388664,"",Spork
D0388672,"","Cartridge pistol"
D0388633,"","Plant stand"
D0388689,"","Window lock handle and escutcheon"
D0388814,"","Sports goggles frame"
D0388705,"","Attachment end for cleaning fluid canister"
D0388721,"","Combined transmitter and receiver for locating lost remote controls"
D0388731,"","Combined pendant and necklace"
D0388737,"","Support for preserved plant arrangement"
D0388905,"","Cosmetics organizer"
D0388924,"","Accelerator vane for a centrifuge"
D0388595,"","Portion of a shoe outsole"
D0388677,"","Concrete vibrator body"
D0388789,"",Radio
D0388685,"",Handle
D0388690,"",Wing
D0388805,"",Camera
D0388641,"","Hanging display rack"
D0388632,"","Wall unit bed"
D0388832,"",Decal
D0388837,"",Joystick
D0388717,"","Adjustable measuring container handle"
D0388601,"","Musical instrument case"
D0388725,"",Reflector
D0388649,"","Rest pillow"
D0388868,"","Electric water heater"
D0388895,"","Narrow pole light base"
D0388855,"","Roller pole"
D0388867,"","Splashguard for bathtub"
D0388916,"","Handle for a carpet cleaning machine"
D0388617,"","Brush handle with small brush removably held therin"
D0388933,"","Flange for a bunged drum"
D0388710,"","Spray bottle"
D0388674,"","Can opener"
D0388761,"","Pleasure boat"
D0388679,"","Pneumatic gun"
D0388635,"","Combined buffett and hutch, as shown."
D0388683,"","Cutter assembly"
D0388807,"","Hybrid photographic camera"
D0388687,"",Padlock
D0388798,"","Air compressor with automatic cut-off plus high volume inflator and"
D0388691,"","Suction cup"
D0388810,"",Camera
D0388639,"","Mobile table"
D0388704,"","Flat back open window economy tab"
D0388699,"","Food tray"
D0388781,"","Video tape cassette"
D0388643,"","Soap dish"
D0388630,"",Seat
D0388707,"","Spray unit"
D0388615,"","Children's toothbrush"
D0388836,"","Board game"
D0388715,"",Clock
D0388745,"","Front cap"
D0388719,"","Spirit level"
D0388850,"","Golf ball retriever"
D0388723,"","Flashing distress signal for vehicles with push button activator and"
D0388884,"","Corner molding trim piece"
D0388727,"",Bracelet
D0388869,"","High velocity fan"
D0388657,"","Lid securing device"
D0388882,"","Combined work ladder and platform"
D0388735,"","Earring back"
D0388887,"","Window component extrusion"
D0388661,"","Cocktail plate"
D0388902,"","Cigar cutter device"
D0388894,"","Car interior lamp"
D0388755,"","Vehicle exterior sun visor"
D0388912,"","Cat's ventilated litter house"
D0388749,"","Hollow spoke wheel for child's stroller"
D0388920,"","Electric iron"
D0388758,"","Bicycle wheel"
D0388928,"","Traction hoist used in a powered suspended scaffold"
D0388907,"","Hand held make up protection device"
D0388671,"","Welding splatter removing tool"
D0388834,"","Cubical sign holder for shelving"
D0388673,"","Bending tool"
D0388629,"",Chair
D0388771,"","Portable computer"
D0388776,"","Pocketed index card interface for an electronic personal information"
D0388678,"","Impact wrench"
D0388822,"","Notebook with snap closure"
D0388680,"","Tool handle"
D0388799,"","Ninety-degree welding bracket"
D0388682,"","Side element of a shoe"
D0388809,"",Camera
D0388684,"","Hand grip"
D0388800,"","Material melting and dispensing apparatus"
D0388796,"","Diaphragm pump"
D0388637,"","Work station"
D0388692,"","Tape spool"
D0388793,"","Key arrangement"
D0388804,"","Electronic camera"
D0388597,"","Shoe sole"
D0388611,"","Ornamental pouch having multiple pockets for carrying miscellaneous"
D0388612,"","Toothbrush with oral irrigator"
D0388792,"","Television remote control"
D0388774,"","Touch pad with scroll bars"
D0388801,"","Oil change device"
D0388826,"","Educational drawing aid"
D0388815,"",Sunglass
D0388614,"",Toothbrush
D0388817,"","Machine head for a guitar"
D0388599,"","Side portion of a shoe upper"
D0388779,"","Computer screen with an icon"
D0388703,"","Lid for a food container"
D0388824,"","Ball point pen"
D0388589,"","Head wrap of soft fabric"
D0388829,"","Holder for elongated implements"
D0388831,"","Vending machine for beverages"
D0388833,"","Wire identification clip"
D0388594,"","Shoe sole"
D0388766,"","Fiber optic connector plug"
D0388712,"",Bottle
D0388711,"",Bottle
D0388714,"","Traveller analogue alarm clock"
D0388931,"","Set of pallet legs"
D0388716,"",Watch
D0388922,"","Waste container"
D0388718,"","Adjustable measuring container bowl"
D0388752,"","Automobile tire"
D0388913,"","Golf club scrubber"
D0388746,"",Motorcycle
D0388722,"","Security alarm"
D0388901,"",Ashtray
D0388854,"","Skater's support"
D0388621,"","Child's rocking chair"
D0388726,"","LED traffic signal light"
D0388603,"","Pocket nametag holder"
D0388728,"",Bracelet
D0388724,"","Road marker"
D0388873,"","Face mask for respiratory therapy"
D0388654,"","Electric water kettle"
D0388880,"","Portable pool"
D0388883,"","Ladder platform"
D0388655,"","Water pitcher"
D0388658,"","Table attachment for a barbecue grill"
D0388874,"","Urine collection cup with valve"
D0388623,"",Chair
D0388860,"","Spinning reel for fishing"
D0388864,"","Faucet handle"
D0388865,"","Faucet handle"
D0388585,"",Confection
D0388903,"","Heating unit for chair clips"
D0388662,"","Combined storage and dispensing container"
D0388740,"","Flower pot cover"
D0388628,"","Corner section"
D0388744,"","Personnel transport vehicle"
D0388588,"","Embellished tiara"
D0388852,"","Dual radius putter"
D0388751,"","Tire tread"
D0388750,"","Stroller latch"
D0388624,"",Chair
D0388919,"","Bucket mounted tool carrier"
D0388670,"",Rake
D0388604,"","Bottle neck retaining clasp and strap"
D0388759,"","Vehicle wheel front face"
D0388930,"","Rotatable recovery unit"
D0388648,"","Face saving pillow design"
D0388605,"","Card case"
D0388650,"",Pillow
D0388843,"","Toy tow truck"
D0388708,"","Asymmetrically shaped bottle with a sloping shoulder"
D0388840,"","Slide puzzle"
D0388765,"","Housing for electronic noise elimination apparatus"
D0388767,"","Fiber optic connector"
D0388768,"",Adapter
D0388835,"","Operating apparatus for a racing game machine"
D0388772,"","Portable computer"
D0388645,"","Hook rack"
D0388702,"","Container carrier"
D0388830,"","Clip pad"
D0388825,"",Pen
D0388631,"",Seat
D0388823,"","Book holder"
D0388778,"","Set the clock icon for a display screen of a programmed computer system"
D0388818,"","Connectible alphabet letters"
D0388587,"",Brassiere
D0388627,"",Chair
D0388590,"","Golf shoe removable sole covering"
D0388812,"","Sleeping mask with crossed straps"
D0388786,"","Combined display and button for portable communication receiver"
D0388640,"","Bassinet frame"
D0388686,"","Window lock"
D0388694,"","Shelf support bracket"
D0388591,"","Element of a shoe upper"
D0388787,"","Communication device"
D0388802,"","Gun mounted camera"
D0388794,"","Portable telephone handset"
D0388808,"","Single-lens reflex camera body"
D0388688,"",Lock
D0388610,"","Wheeled school bag"
D0388806,"",Camera
D0388803,"","Image inputting device"
D0388813,"","Safety glasses with optional attached magnifiers"
D0388797,"","Diaphragm pump"
D0388609,"","Tool container"
D0388693,"","Multisided shower bar"
D0388695,"","Bag retainer clip"
D0388636,"","Combined service stand hutch and base"
D0388791,"","Outdoor portable speaker"
D0388795,"","Telephone holder"
D0388760,"","Front face of a wheel"
D0388638,"","Folding table"
D0388816,"","Eyeglass front"
D0388696,"","Combined hook-and-loop material door-holding door stop and receiver"
D0388788,"","Headphone radio"
D0388790,"",Speaker
D0388698,"",Container
D0388634,"","Removable tray table"
D0388841,"","Constructional toy piece"
D0388598,"","Element of a shoe"
D0388701,"","Container for malleable play material"
D0388608,"","Tool box"
D0388811,"","Overhead projector"
D0388783,"","Portable telephone"
D0388780,"",Keyboard
D0388782,"","Voice response unit"
D0388784,"","Portable telephone"
D0388819,"","Paper shredder"
D0388644,"","Post for bath accessory"
D0388821,"",Printer
D0388773,"",Scanner
D0388777,"","Icon for a computer screen"
D0388775,"","Radio telephone display icon"
D0388827,"","Paper clip with hook end and wide end"
D0388904,"","Combined cuticle shaper and nail file"
D0388828,"","Brain shaped pencil sharpener"
D0388676,"","Concrete vibrator body"
D0388607,"","Camera case"
D0388706,"","Dispenser cap for flasks and bottles"
D0388770,"","Light switch"
D0388709,"",Bottle
D0388769,"","Compressor control panel"
D0388763,"",Battery
D0388646,"","Monitor support"
D0388839,"","Toy ball"
D0388838,"","Bubble tower"
D0388762,"","Automotive plug in accessory mount"
D0388764,"","Housing for a battery charging device"
D0388700,"","Compartmented container"
D0388606,"","Fish-shaped tackle container and carrying case"
D0388602,"","Key chain box"
D0388820,"",Photocopier
D0388847,"","Cross training exerciser"
D0388929,"","Traction hoist used in a powered suspended scaffold"
D0388592,"","Dance practice slipper"
D0388669,"","Elongated tool handle"
D0388927,"","Traction ramp device"
D0388625,"",Chair
D0388668,"","Flat end spade with toothed blade"
D0388754,"","Yard ornament lollipops"
D0388667,"","Plant branch spreader"
D0388914,"","Universal vacuum attachment adapter"
D0388666,"","Lunch container"
D0388665,"","Cutting device"
D0388896,"","Signal light system for a helmet"
D0388898,"","Dry shaver"
D0388660,"","Drinking cup with cover and opener for beverage tins"
D0388663,"","Pouch for a bottle"
D0388891,"","Lamp holder"
D0388742,"",Buckle
D0388659,"","Combined heat transfer pad and burner cover"
D0388899,"","Post lamp"
D0388886,"","Window component extrusion"
D0388890,"","Window component extrusion"
D0388741,"","Jewelry clasp"
D0388859,"","Tick remover"
D0388861,"",Hook
D0388862,"","Centerset lavatory escutcheon"
D0388889,"","Plastic tile covering wall"
D0388866,"","Bath leg relaxation/support device"
D0388620,"","Garment hanger"
D0388897,"","Exterior surface configuration of an automobile front light assembly"
D0388656,"","Bread producing machine"
D0388872,"","Full face respirator lens"
D0388730,"",Ring
D0388870,"","Blade holder for a ceiling fan"
D0388871,"","Ceiling fan blade"
D0388881,"","Stylized building"
D0388733,"","Easter tomb pendant"
D0388732,"","Easter tomb pendant"
D0388876,"","Barb connector"
D0388878,"","Electric therapeutic stimulator"
D0388875,"","Combined suction based needle re-sheather and winged needle split top"
D0388879,"","Massage device"
D0388653,"","Beehive creamer"
D0388893,"","Votive candleholder"
D0388863,"","Faucet body"
D0388849,"","Portable pitching mound"
D0388877,"","Cranial bone plate"
D0388593,"","Sole for shoes"
D0388885,"","Door lite"
D0388734,"","Earring clip"
D0388858,"","Rifle magazine cap"
D0388892,"","Candle holder"
D0388651,"","Seat cushion"
D0388857,"","Inflatable towable device"
D0388900,"","Post lighting fixture"
D0388622,"",Chair
D0388652,"","Container with double sided trays for compact disks"
D0388856,"","Putting platform module"
D0388851,"","Golf putter head with recessed and fluted rear side and stepped top wall"
D0388736,"","Bubble blowing santa"
D0388619,"","Clothes hook"
D0388785,"","Combined radio, lantern, LCD clock and soft light"
D0388909,"","Wrist guard"
D0388720,"","Combined transmitter and receiver for locating lost individuals"
D0388853,"","Golf putter head with golf ball retriever"
D0388618,"","Poster frame"
D0388586,"","Fourchettes for a glove"
D0388906,"",Lamp
D0388613,"","Toothbrush with oral irrigator"
D0388923,"","Universal engine dolly"
D0388911,"","Exerciser for pets"
D0388915,"","Vacuum cleaner upper portion"
D0388910,"","Pet shelter"
D0388918,"","Rim for laundry basket"
D0388917,"",Hamper
D0388921,"","Iron with steam unit"
D0388753,"","Tire tread"
D0388842,"","Baby stroller"
D0388925,"",Jack
D0388926,"","Automotive jack"
D0388757,"","Bicycle wheel"
D0388846,"","Facial exerciser"
D0388626,"",Chair
D0388647,"","Sidewalk mat"
D0388616,"","Tongue brush handle with convex head"
D0388642,"","Shower caddy"
D0388934,"",Broom
D0388600,"","Sock with simulated ankle bracelet"
D0388844,"","Tread for a tire"
D0388888,"","Conical pad footing using compacted sand or fine crushed slag in a thin"
D0388748,"","Baby stroller"
D0388756,"","Pair of truck body side panels"
D0388848,"","Flexicisor exercise device with hand grips on each end"
D0388845,"","Toy cassette player"
D0388738,"","Flower pot cover"
D0388713,"","Combination light and alarm clock"
05704522,"A device for limiting liquid loss in pressurized liquid dispensers having a membrane, which is elastically deformable and capable of occupying two positions, namely: (a) a resting position in which it has three support zones, namely on a first bearing surface and a second bearing surface and on the protruding part of head of knob; and (b) a deformed position in which its end of larger diameter is raised from the first bearing surface by the stress exerted by the pressurized liquid so as to leave a free passage for said liquid, membrane in this position, however, remaining in contact with the second bearing surface and with the protruding part of knob head.","Device for limiting liquid loss, suitable for a pressurized liquid"
05704451,"A ladder stabilizing system including a pair of mounting assemblies coupled to a lower end of a ladder. Further provided are a pair of stabilizing mechanisms slidably engaged with respect to the mounting assemblies. A pair of feet are pivotally coupled to an associated stabilizing mechanism at a lower end thereof. The feet are adapted to pivot within a plane common to a plane defined by the vertical members of the ladder. Also included is a ladder shoe accessory comprising an elongated member having a rectangular configuration with a lower face and an upper face with a pair of elongated side faces integrally coupled between side edges of the lower face and upper face thereby defining an elongated slot. The upper face further has an elongated slit formed therein and extended between a pair of open ends of the ladder shoe accessory. The feet are adapted to be situated within the elongated slot of the first shoe accessory. Further provided is at least one stabilizer control mechanism for allowing a user to dictate the extent to which the stabilizing mechanisms extend below the ladder.","Ladder stabilizing system"
05704160,"A novel method of producing corn grain with a high oil content has been developed. Through pollination of male-sterile hybrid corn plants by nonisogenic corn plants possessing the trait of high-oil, grain is obtained possessing an oil content much higher than would be expected for self- or cross-pollination. This method can be practiced by farmers using currently accepted farming practices to directly obtain high yields of high-oil corn grain for animal feed and other products.","Production method for high-oil corn grain"
