patent,kind,claims,apptype,appnum,gdate,gyear,appdate,appyear
03858241,"",6,"","",1975-01-07,1975,1974-03-26,1974
03858242,"",5,"","",1975-01-07,1975,1973-04-16,1973
03858243,"",12,"","",1975-01-07,1975,1973-07-11,1973
03858244,"",1,"","",1975-01-07,1975,1973-12-17,1973
03858245,"",5,"","",1975-01-07,1975,1972-05-18,1972
03858246,"",6,"","",1975-01-07,1975,1973-04-19,1973
03858247,"",4,"","",1975-01-07,1975,1973-04-24,1973
03858248,"",5,"","",1975-01-07,1975,1973-10-09,1973
03858249,"",17,"","",1975-01-07,1975,1973-10-10,1973
03858250,"",1,"","",1975-01-07,1975,1973-08-16,1973
03858251,"",17,"","",1975-01-07,1975,1973-09-17,1973
03858252,"",5,"","",1975-01-07,1975,1973-08-01,1973
03858253,"",6,"","",1975-01-07,1975,1973-08-16,1973
03858254,"",2,"","",1975-01-07,1975,1973-10-15,1973
03858255,"",3,"","",1975-01-07,1975,1973-12-13,1973
03858256,"",3,"","",1975-01-07,1975,1972-11-01,1972
03858257,"",1,"","",1975-01-07,1975,1973-10-15,1973
03858258,"",6,"","",1975-01-07,1975,1974-02-19,1974
03858259,"",6,"","",1975-01-07,1975,1972-04-28,1972
03858260,"",10,"","",1975-01-07,1975,1973-02-12,1973
03858261,"",2,"","",1975-01-07,1975,1973-06-21,1973
03858262,"",8,"","",1975-01-07,1975,1973-09-25,1973
03858263,"",3,"","",1975-01-07,1975,1973-09-17,1973
03858264,"",8,"","",1975-01-07,1975,1973-11-30,1973
03858265,"",10,"","",1975-01-07,1975,1973-01-15,1973
03858266,"",16,"","",1975-01-07,1975,1973-03-19,1973
03858267,"",3,"","",1975-01-07,1975,1973-12-21,1973
03858268,"",4,"","",1975-01-07,1975,1973-10-19,1973
03858269,"",5,"","",1975-01-07,1975,1973-03-22,1973
03858270,"",2,"","",1975-01-07,1975,1973-11-09,1973
03858271,"",11,"","",1975-01-07,1975,1972-11-20,1972
03858272,"",19,"","",1975-01-07,1975,1973-02-21,1973
03858273,"",3,"","",1975-01-07,1975,1971-05-11,1971
03858274,"",3,"","",1975-01-07,1975,1973-09-28,1973
03858275,"",1,"","",1975-01-07,1975,1973-07-09,1973
03858276,"",2,"","",1975-01-07,1975,1973-08-27,1973
03858277,"",3,"","",1975-01-07,1975,1973-10-26,1973
